"blog-coments-header","en","Comments"
"blog-comments","en","Comments"
"blog-comments_no_allowed","en","Comments are not allowed on this post"
"blog-comments_no_comments","en","This post has no comments"
"blog-main-header","en","Blog"
"blog-no_comments","en","No comment"
"blog-no_posts","en","No posts have been published"
"blog-send_comment-button","en","Send"
"blog-send_comment-header","en","Write a comment"
"blog-side-last_comments","en","Latest comments"
"blog-side-last_posts","en","Nieuwste posts"
"blog-side-tags","en","Categories"
"call-apply-expired","en","The registration process for the campaign has ended"
"call-apply-failed","en","An error has occurred while loading the campaign"
"call-apply-notice","en","You must create a project to enter the campaign %s"
"call-field-amount","en","Budget"
"call-field-apply","en","How to apply"
"call-field-backimage","en","Pages background image"
"call-field-call_location","en","Localization"
"call-field-categories","en","Categories"
"call-field-days","en","Number of days since application"
"call-field-description","en","Announcement of the campaign"
"call-field-dossier","en","URL with the complete information of the PDF"
"call-field-icons","en","Types of return"
"call-field-image","en","Widget image"
"call-field-legal","en","Terms & conditions"
"call-field-logo","en","Logo of the campaign"
"call-field-maxdrop","en","Maximum flow of contribution"
"call-field-name","en","Campaign name"
"call-field-scope","en","Scope of the call"
"call-field-subtitle","en","Subtitle sentence"
"call-field-whom","en","Who can participate"
"call-form-ajax-info","en","The request form will be saved according to passes for eacht field"
"call-go_dashboard-button","en","Back to Dashboard"
"call-header-social_spread","en","Spread the word!"
"call-info-apply-header","en","How can I publish a project?"
"call-info-main-header","en","General information about the campaign"
"call-info-whom-header","en","Who is participating?"
"call-overview-main-header","en","Description"
"call-projects_table-head","en","Contributions: - Campaign-Users"
"call-review-confirm_mail-fail","en","Failed to send confirmation mail"
"call-review-confirm_mail-success","en","onfirmation mail has been sent"
"call-review-request_mail-fail","en","Failed to send a review request mail"
"call-review-request_mail-success","en","Review request mail sent"
"call-see_main-button","en","Preview main page"
"call-see_splash-button","en","Preview splash screen"
"call-splash-applied_projects-header","en","Registered projects"
"call-splash-apply-button","en","Participate"
"call-splash-campaign_title","en","Campaign"
"call-splash-categories-header","en","Projects in the categories"
"call-splash-dossier-link","en","Download bases pdf"
"call-splash-icons-header","en","Projects with returns"
"call-splash-invest_explain","en","For every <strong>1&euro;</strong> you give to a project, <strong>%s</strong> gives another <strong>1&euro;</strong> to the same project."
"call-splash-invest_explain_this","en","For every <strong>1&euro;</strong> you give to this project, <strong>%s</strong> gives another <strong>1&euro;</strong>."
"call-splash-legal-link","en","Terms & Conditions"
"call-splash-location-header","en","Campaign only for projects in:"
"call-splash-more_info-button","en","More info..."
"call-splash-more_info-header","en","More information"
"call-splash-open_explain","en","The participating projects have been chosen in an open campaign"
"call-splash-remain_budget-header","en","Remaining amount to be distributed"
"call-splash-resources-header","en","Cloudfunding resources "
"call-splash-resources_explain","en","resources that projects can use "
"call-splash-runing_projects-header","en","Active projects"
"call-splash-searching_projects","en","Projects Wanted!"
"call-splash-see_projects-button","en","View the selected projects"
"call-splash-selected_projects-header","en","Selected projects"
"call-splash-success_projects-header","en","Successful projects"
"call-splash-valid_until-header","en","Campaign valid until:"
"call-splash-whole_budget-header","en","Total campaign budget"
"call-terms-main-header","en","Terms & Conditions of the campaign"
"call_header_riego","en","Cloudfunding"
"call_header_whats_riego","en","What is CloudFunding?"
"community-menu-activity","en","Activity"
"community-menu-main","en","Community"
"community-menu-sharemates","en","Sharing"
"contact-captcha-field","en","Test of humanity (sorry...)"
"contact-email-field","en","Email address"
"contact-form-tags","en","[user] I have a problem with my account;
[new promoter] I have a project;
[new promoter 2] I have a question on the project form;
[development] I need help with tech questions;
[service] I'd like to contract your services;
[other] I have another question;"
"contact-message-field","en","Message"
"contact-name-field","en","Name"
"contact-send_message-button","en","Send"
"contact-send_message-header","en","Send us a message"
"contact-subject-field","en","Subject"
"contact-tag-field","en","Type of question"
"contract-accounts_title","en","Project bank accounts"
"contract-bank_account","en","Bank account"
"contract-bank_owner","en","Bank account title"
"contract-paypal_account","en","Email address vinculated to your Paypal account:"
"contract-paypal_owner","en","Paypal account title"
"cost-type-lend","en","Loan"
"cost-type-material","en","Material"
"cost-type-structure","en","Infrastructure"
"cost-type-task","en","Task"
"costs-field-amount","en","Value"
"costs-field-cost","en","Expense"
"costs-field-dates","en","Dates"
"costs-field-date_from","en","From"
"costs-field-date_until","en","Until"
"costs-field-description","en","Description"
"costs-field-required_cost","en","This expense is"
"costs-field-required_cost-no","en","Supplemental"
"costs-field-required_cost-yes","en","Necessary"
"costs-field-resoure","en","Other resources"
"costs-field-schedule","en","Tasks schedule"
"costs-field-type","en","Type"
"costs-fields-main-title","en","Breakdown of expenses"
"costs-fields-metter-title","en","View of expenses"
"costs-fields-resources-title","en","Resource"
"costs-main-header","en","Expenses"
"criteria-owner-section-header","en","About project responsible/team"
"criteria-project-section-header","en","About the project"
"criteria-reward-section-header","en","About the rewards"
"dashboard-call-delete_alert","en","The data will be erased completely, are you sure?"
"dashboard-embed_code","en","Code diffusion simple"
"dashboard-embed_code_investor","en","CODE WITH IMAGE OF CROWDFUNDER"
"dashboard-header-main","en","My dashboard"
"dashboard-investors-mail-fail","en","    Message failed to %s: %s"
"dashboard-investors-mail-nowho","en","No recipient was found"
"dashboard-investors-mail-sended","en","Message sent correctly to %s: %s"
"dashboard-investors-mail-sendto","en","Sent to %s of your backers:"
"dashboard-investors-mail-text-required","en","Write the message"
"dashboard-menu-activity","en","My activity"
"dashboard-menu-activity-spread","en","Spread the word"
"dashboard-menu-activity-summary","en","Summary"
"dashboard-menu-activity-wall","en","My wall"
"dashboard-menu-admin_board","en","Administration"
"dashboard-menu-calls","en","My summary"
"dashboard-menu-calls-assign_mode-off","en","Leave selected projects now"
"dashboard-menu-calls-assign_mode-off","en","Stop selecting projects now"
"dashboard-menu-calls-assign_mode-on","en","Go to select projects"
"dashboard-menu-calls-preview","en","Public page"
"dashboard-menu-calls-projects","en","Assigned projects"
"dashboard-menu-calls-sponsors","en","Sponsors"
"dashboard-menu-calls-summary","en","Summary"
"dashboard-menu-main","en","My panel"
"dashboard-menu-profile","en","My profile"
"dashboard-menu-profile-access","en","Account details"
"dashboard-menu-profile-personal","en","Personal information"
"dashboard-menu-profile-preferences","en","Preferences"
"dashboard-menu-profile-profile","en","Edit profile"
"dashboard-menu-profile-public","en","Public profile"
"dashboard-menu-projects","en","My projects"
"dashboard-menu-projects-contract","en","Contract"
"dashboard-menu-projects-preview","en","Public page"
"dashboard-menu-projects-rewards","en","Backers"
"dashboard-menu-projects-summary","en","Summary"
"dashboard-menu-projects-supports","en","Collaborations"
"dashboard-menu-projects-updates","en","News"
"dashboard-menu-projects-widgets","en","Widget"
"dashboard-menu-review_board","en","Review"
"dashboard-menu-translates","en","My translations"
"dashboard-menu-translate_board","en","Translation"
"dashboard-messegers-mail-sendto","en","Sent to %s of your cofinancers"
"dashboard-password-recover-advice","en","You are recovering your password. Remember to put your user name in the ""current password"" field to change it."
"dashboard-project-blog-fail","en","Contact us"
"dashboard-project-blog-inactive","en","Sorry, you can't publish news on this project right now."
"dashboard-project-blog-wrongstatus","en","Sorry, you can't publish news about this project yet..."
"dashboard-project-delete_alert","en","Are you sure you want to permanently delete this project?"
"dashboard-project-updates-deleted","en","Post removed"
"dashboard-project-updates-delete_fail","en","Error while removing post"
"dashboard-project-updates-fail","en","There was a problem saving the data"
"dashboard-project-updates-inserted","en","New post added"
"dashboard-project-updates-noblog","en","No blog was found for this project"
"dashboard-project-updates-nopost","en","Post not found"
"dashboard-project-updates-postcorrupt","en","There is a problem with the post. Please contact us."
"dashboard-project-updates-saved","en","Post updated correctly"
"discover-banner-header","en","    By category, location or benefit,<br /><span class=""red"">find the project</span> that you identify with the most."
"discover-calls-header","en","you must <span class=""greenblue"">invent</span> <br />a text with <span class=""red"">colours</span> to go here"
"discover-group-all-header","en","Campaign in progress"
"discover-group-archive-header","en","Filed"
"discover-group-call-header","en","Selected projects for the summary:"
"discover-group-others-header","en","Other nodes:"
"discover-group-outdate-header","en","About to expire"
"discover-group-popular-header","en","Most popular"
"discover-group-recent-header","en","Recent"
"discover-group-success-header","en","Successes"
"discover-group-success-header","en","Successful"
"discover-patron-header","en","<span class=""greenblue"">%s</span> recommend<br />these <span class=""red"">projects</span>"
"discover-results-empty","en","We did not find any project that matches your search criteria"
"discover-results-header","en","Search results"
"discover-searcher-button","en","Search"
"discover-searcher-bycategory-all","en","ALL"
"discover-searcher-bycategory-header","en","By category:"
"discover-searcher-bycontent-header","en","By content:"
"discover-searcher-bylocation-all","en","ALL"
"discover-searcher-bylocation-header","en","By location:"
"discover-searcher-byreward-all","en","ALL"
"discover-searcher-byreward-header","en","By benefit:"
"discover-searcher-header","en","Find a project"
"error-contact-email-empty","en","You didn't add your email address"
"error-contact-email-invalid","en","The email you entered is not valid."
"error-contact-message-empty","en","You haven't written a message"
"error-contact-subject-empty","en","You didn't enter a subject"
"error-image-name","en","Error in the file name"
"error-image-size","en","Error with the file size"
"error-image-size-too-large","en","The image is too big."
"error-image-tmp","en","Error while loading the file"
"error-image-type","en","Only JPG, PNG, and GIF images are permitted"
"error-image-type-not-allowed","en","Only .png, .jpg, and .gif images are allowed."
"error-register-email","en","The email field is required."
"error-register-email-confirm","en","The emails don't match."
"error-register-email-exists","en","The email you entered is registered to an existing user."
"error-register-invalid-password","en","That password is not valid."
"error-register-password-confirm","en","The passwords don't match."
"error-register-pasword","en","You can't leave the password field empty."
"error-register-pasword-empty","en","You didn't enter a password"
"error-register-short-password","en","The password should have at least 8 characters."
"error-register-user-exists","en","That user name is already registered."
"error-register-userid","en","You have to enter a user name"
"error-register-username","en","You have to enter a screen name."
"error-user-email-confirm","en","The email confirmation is not the same as the email."
"error-user-email-empty","en","You can't leave the email field empty"
"error-user-email-exists","en","There is already a registered user with that email address"
"error-user-email-invalid","en","The email you entered is not valid."
"error-user-email-token-invalid","en","The code is incorrect"
"error-user-password-confirm","en","The password confirmation is not the same as the password."
"error-user-password-empty","en","You didn't enter a password"
"error-user-password-invalid","en","The password is too short. It has to have at least 6 characters."
"error-user-wrong-password","en","The password is incorrect."
"explain-project-progress","en","This graph explains in a visual way the level of data that you have entered together with a basic evaluation completed by the system. To be able to submit the project, you have to reach at least 80%. The criteria that make the “temperature” rise have to do with the relevant information that you provide, the media, images and links that you enter, the degree of openness of the license you choose, the coherence of your estimate with respect to the work that needs to be carried out, etc. Don't forget to take advantage of the tooltips on the right that will guide you through the process."
"faq-ask-question","en","Didn't this solve your question? Send us a message."
"faq-investors-section-header","en","For co-financiers"
"faq-main-section-header","en","An approach"
"faq-nodes-section-header","en","About local nodes"
"faq-project-section-header","en","About the projects"
"faq-sponsor-section-header","en","For promoters"
"fatal-error-call","en","The campaign you are looking for does not exist"
"fatal-error-project","en","The project you're looking for... <span class=""red"">does not exist :(</span>"
"fatal-error-teapot","en","<span class=""greenblue"">How embarassing...</span> an unexpected  error occurred"
"fatal-error-user","en","The user you're looking for... <span class=""red"">does not exist :(</span>"
"feed-blog-comment","en","Has written a <span class=""green"">Comment</span> at the post ""%s"" from the %s blog"
"feed-head-community","en","Community"
"feed-head-goteo","en","SiteName"
"feed-head-projects","en","Projects"
"feed-header","en","Recent activity"
"feed-invest","en","Has contributed with %s to the %s project"
"feed-messages-new_thread","en","Has opened a thread at %s of the project %s"
"feed-messages-response","en","Has answered to %s of the project %s"
"feed-message_support-response","en","New collaboration with %s at project %s"
"feed-new_call-opened","en","<span class=""red"">New call in SiteName</span>, your project can apply now"
"feed-new_call-published","en","<span class=""light-blue"">CloudFunding</span> available"
"feed-new_project","en","    <span class=""red"">New SiteName project</span>, you've got 40 days from today to support this project."
"feed-new_support","en","Has published a new <span class=""green"">Collaboration</span> at the %s project, with the title ""%s"""
"feed-new_update","en","%s new post in %s about %s"
"feed-new_user","en","New user, %s"
"feed-project_fail","en","    The project, %s, has <span class=""red"">closed</span> having only received <span class=""violet"">%s ? (%s %) of the minimum contribution</span>"
"feed-project_finish","en","    The project, %s, has <span class=""red"">completed the second round</span> having received <span class=""violet"">%s ? (%s %) of the minimum contribution</span>"
"feed-project_goon","en","    The project, %s, <span class=""red"">will continue</span> in the second round since it received <span class=""violet"">%s ? (%s %) of the minimum required contributions</span>"
"feed-project_runout","en","The %s project has <span class=""red"">%s more days</span> until the end of round number %s"
"feed-side-top_ten","en","Top ten co-financiers"
"feed-timeago","en","%s ago"
"feed-timeago-justnow","en","just"
"feed-timeago-periods","en","second-seconds_minute-minutes_hour-hours_day-days_week-weeks_month-months_year-years_decade-decades"
"feed-timeago-published","en","Published %s ago"
"feed-updates-comment","en","Has written a <span class=""green"">Comment</span> to the message ""%s"" on %s of the %s project"
"footer-header-categories","en","Categories"
"footer-header-projects","en","Projects"
"footer-header-resources","en","Resources"
"footer-header-services","en","Services"
"footer-header-social","en","Follow us"
"footer-header-sponsors","en","Institutional support"
"footer-platoniq-iniciative","en","An initiative of:"
"footer-resources-glossary","en","Glossary"
"footer-resources-press","en","Press Kit"
"footer-service-campaign","en","Campaigns"
"footer-service-consulting","en","Consulting firm"
"footer-service-resources","en","Feeder capital"
"footer-service-workshop","en","Workshops"
"form-accept-button","en","OK"
"form-add-button","en","Add"
"form-ajax-info","en","This form is saved automatically while you fill it out"
"form-apply-button","en","Apply"
"form-call-status-title","en","Status of the campaign"
"form-call_status-apply","en","Application"
"form-call_status-edit","en","Edition"
"form-call_status-expired","en","Archived"
"form-call_status-published","en","Active"
"form-call_status-review","en","In revision"
"form-call_status-success","en","Completed"
"form-edit-button","en","Edit"
"form-errors-info","en","Total: %s | At this step: %s"
"form-errors-total","en","There's %s errors in total"
"form-footer-errors_title","en","Errors"
"form-image_upload-button","en","Upload image"
"form-media_send-button","en","Send video"
"form-navigation_bar-header","en","Go to"
"form-next-button","en","Next"
"form-project-info_status-title","en","Overall status of information"
"form-project-progress-title","en","Data evaluation"
"form-project-status-title","en","Project status"
"form-project_status-campaing","en","Campaign in progress"
"form-project_status-cancel","en","Discarded"
"form-project_status-cancelled","en","Canceled"
"form-project_status-edit","en","In review"
"form-project_status-expired","en","Closed"
"form-project_status-fulfilled","en","Benefit completed"
"form-project_status-review","en","Evaluation pending"
"form-project_status-success","en","Funded"
"form-project_waitfor-campaing","en","Spread the word about your project. Help get the most support!"
"form-project_waitfor-cancel","en","We have decided not to publish your proposal on SiteName, though we invite you to try again with a different idea or concept."
"form-project_waitfor-edit","en","When it's ready, send it for review. You have to provide a minimum of information about your project on the form."
"form-project_waitfor-expired","en","It didn't work out. Make it better and try again!"
"form-project_waitfor-fulfilled","en","You've managed all the benefits. Thanks for participating!"
"form-project_waitfor-review","en","We will get back to you as soon as we've had a chance to review your project. At that point, we will either post your project, or suggest ways to make it fit better on SiteName."
"form-project_waitfor-success","en","You have reached or surpassed your co-financing goal for this project. We will contact you shortly to talk about money :)"
"form-remove-button","en","Remove"
"form-self_review-button","en","Correct"
"form-send_review-button","en","Send"
"form-upload-button","en","Send"
"guide-call-contract-information","en","2. step guide: private data of the convenor"
"guide-call-description","en","3. step guide: description of the initative"
"guide-call-preview","en","Step guide to previsualisation"
"guide-dashboard-user-access","en","You can change the information with which you log in to your SiteName account."
"guide-dashboard-user-personal","en","You should only fill in this data if you have created a project and you want it to be co-financed and supported through SiteName. The information in this section is necessary so that we can contact you in the event that you obtain the necessary co-financing, and make the corresponding deposit."
"guide-dashboard-user-preferences","en","Select 'Yes' for the automatic notifications you want to block."
"guide-dashboard-user-profile","en","Whether you want to create a project or co-finance someone else's, in order to join the SiteName community, we recommend that you carefully edit your presentation text, and include relevant links about what you do as well as a profile image with which you identify"
"guide-project-comment","en","guide-project-comment"
"guide-project-contract-information","en","<strong>The only thing left is to fill in your data if you want your project to be co-financed and supported through SiteName.</strong><br><br>The information in this section is necessary so that we can contact you if you get the required financing, and be able to make the deposit. In the case of organizations, we recommend that the representative of the organization be formally accredited (for example, by way of the statutes or a certificate of the secretary with an OK from the president, in the case of associations)."
"guide-project-costs","en","<strong>In this section, you should fill out a short business plan based on the estimated costs for your project.</strong><br><br>You should break down the numbers by tasks, infrastructure, or materials. Try to be realistic about the costs and briefly explain why you need each one. Keep in mind, that as a general rule, most part of the project will have to be undertaken by the person or team that is promoting the project, and not subcontracted to third parties. For the calculation, have also in mind the commissions for SiteName's provision of services and for transaction, which add up to around 9% (<a href=""/faq/sponsor#q98"" target=""new"">+ info in our FAQ</a>). <br><br><strong>Very important</strong>: On SiteName, we differentiate among necessary and supplemental costs. The former must be totally covered in order to obtain funding, while the latter can be obtained as part of a second campaign, once the project is underway, in order to cover optimization costs (promotion, design, outreach, additional units, etc.) These supplemental costs can not be more than one half of the total cost of the project."
"guide-project-description","en","<strong>Use this section to explain the conceptual aspects of the project</strong><br><br>This is the first information that a visitor to the site will see. For that reason, we recommend being careful with editing and avoiding typos. You will see that there are required fields, including one for video and images. We believe that these are essential for starting a campaign to raise funds via SiteName.<br><br>Keep in mind that the most valuable thing to SiteName is: the free information and general knowledge that your project will bring to the community, the originality, the desire to answer a social need, the power to attract a wide community of interested people, making it clear that the promotion team has the capacity and experience to bring the project to fruition. So don't forget to give us information about all of these points."
"guide-project-error-mandatories","en","Some required fields are missing"
"guide-project-preview","en","<strong>This is a summary of all of the information about the project.</strong><br><br>Review the information given in each field to see if any improvements can be made, and when you're ready, send us the project (by clicking the Send button below) so we can evaluate it. Once the proposal is sent, no further changes are permitted.<br><br>Keep in mind that we can only choose a few projects per month in order to guarantee a certain amount of attention and promotion for those that are published. You will receive a message with all of this information shortly, which will indicate the next steps, as well as some recommendations that will help your project reach its proposed objectives."
"guide-project-rewards","en","<strong>In this section, you should establish what the project is offering to its co-financiers and also what the collective benefits will be.</strong><br><br>In addition to the individual rewards for each level of co-financing, you should define the kind of license that you will assign to the project, according to its format and/or level of openness (or that of its parts). This is very important, since SiteName is a crowdfunding platform for projects based on a philosophy of open source software and promotion of the common good.<br><br>In the event that in addition to one of the licenses specified here you would also like to register the intellectual property rights of your work or ideas, while maintaining its compatibility with collective benefits, you can get specific legal protection with <a href=""http://www.safecreative.org/"" target=""new"">Safe Creative</a>."
"guide-project-success-minprogress","en","You have achieved the minimum percentage"
"guide-project-success-noerrors","en","All of the required fields are filled out"
"guide-project-success-okfinish","en","You can send it for reviewing"
"guide-project-support","en","guide-project-support"
"guide-project-supports","en","<strong>In this section you will specify what other support, apart from financing, that you will need in order to complete the project.</strong><br><br>They can consist of collaboration or assistance from other people (translations, organization, promotion, etc.) or perhaps specific loans (of material, transportation, hardware, etc.)"
"guide-project-updates","en","<b>It's very important that the projects keep their co-financiers and other potentially interested people up to date about how the campaign is progressing. Use this section like a blog to publish updates about the project.</b>On SiteName, after you've achieved the minimum financing, and as you go into the second round, it's essential to periodically explain how the production, progress, problems, etc. are going in order to allow the most transparency possible in order to generate even more interest and community."
"guide-project-user-information","en","    <strong>In this section, you will enter data for the public part of your user profile. </strong><br><br>Whether you want to create a project or co-finance someone else's, in order to join the SiteName community, we recommend that you carefully edit your presentation text, and include relevant links about what you do as well as a profile image with which you identify."
"guide-user-data","en","Text guide for editing active fields"
"header-about-side","en","What inspires us"
